	$\frac{\Delta G^\circ_{MPNN}-\mu}{\sigma}$	$\Delta G^\circ_{MPNN}(\mu=-411.2,\sigma=40.9$	$\Delta G^\circ_{GCM}$
CPD0-1148	0.7177826166152954	-381.8518371582031	634.35071664
CPD0-1156	-0.18492180109024048	-418.7922668457031	68.6875774
CPD0-1157	-0.24696123600006104	-421.3310546875	213.891117536
CPD0-1197	-4.66074800491333	-601.951904296875	-652.661114
CPD0-1198	-3.790900707244873	-566.3560791015625	-586.22852432
CPD0-1200	-3.8167192935943604	-567.41259765625	-535.60204064
CPD0-1203	-3.5137877464294434	-555.0160522460938	-192.96570344
CPD0-1218	-2.4099459648132324	-509.84466552734375	-356.48972856
CPD0-1232	2.9417266845703125	-290.8436279296875	162.29773656
CPD0-1234	-0.6520572900772095	-437.90838623046875	641.97024088
CPD0-1236	-3.6549856662750244	-560.794189453125	-201.026832144
CPD0-1237	-3.7062554359436035	-562.8922119140625	-348.61908064
CPD0-1239	0.6311825513839722	-385.39569091796875	542.73308288
CPD0-1240	-2.6360104084014893	-519.095703125	257.247482816
CPD0-1258	2.660958766937256	-302.3332214355469	319.34467864
CPD0-1260	3.9280476570129395	-250.48143005371094	241.413210128
CPD0-1263	-3.401190996170044	-550.4083862304688	-731.37893184
CPD0-1264	-2.226961851119995	-502.3565979003906	-144.24250044
CPD0-1265	-2.2815213203430176	-504.58929443359375	-51.515763592
CPD0-1267	-1.7588577270507812	-483.20086669921875	-401.01029184
CPD0-1271	-2.934417247772217	-531.3070678710938	-599.9642616
CPD0-1272	-3.428569793701172	-551.52880859375	-842.38994952
CPD0-1274	-1.8472857475280762	-486.81951904296875	-338.7636268
CPD0-1276	-2.7077338695526123	-522.03076171875	-103.673729344
CPD0-1293	-3.852905750274658	-568.8934326171875	-72.466080856
CPD0-1296	0.291257381439209	-399.30609130859375	818.38257592
CPD0-1297	-4.361534118652344	-589.70751953125	-266.929509856
CPD0-1299	-3.3864858150482178	-549.806640625	-165.462066472
CPD0-1300	-2.0863265991210938	-496.6015319824219	-105.9756992
CPD0-1304	-3.220661163330078	-543.020751953125	72.719401136
CPD0-1305	-2.9484188556671143	-531.8800659179688	-254.92607828
CPD0-1307	3.090031862258911	-284.7746887207031	286.3579808
CPD0-1310	-1.0507643222808838	-454.2242736816406	-402.73702864
CPD0-1311	-5.111568450927734	-620.400390625	-366.96893312
CPD0-1312	-3.69578218460083	-562.463623046875	-152.534272144
CPD0-1316	-3.407153606414795	-550.65234375	-196.898692728
CPD0-1319	-3.6449551582336426	-560.3836669921875	-145.58878612
CPD0-1320	-4.972378730773926	-614.7044677734375	-166.51349312
CPD0-1322	-4.0448222160339355	-576.7470703125	-65.046062288
CPD0-1327	-2.5742430686950684	-516.5680541992188	-335.75192084
CPD0-1335	-0.25602075457572937	-421.7017822265625	-87.961416072
CPD0-1336	1.586207628250122	-346.31414794921875	-150.534905904
CPD0-1349	0.11190982908010483	-406.6453552246094	155.431282112
CPD0-1351	-0.11547303199768066	-415.9502868652344	128.742759472
CPD0-1353	-0.7099622488021851	-440.2779846191406	-364.80220688
CPD0-1377	1.155991792678833	-363.91943359375	43.589054256
CPD0-1378	-0.5882964134216309	-435.2991638183594	-94.650335032
CPD0-1379	-0.7937795519828796	-443.70794677734375	-80.62528252
CPD0-1380	-0.8041623830795288	-444.1328430175781	270.4502036
CPD0-1395	4.374112129211426	-232.22760009765625	-372.84490088
CPD0-1397	-1.7430744171142578	-482.5549621582031	839.47654664
CPD0-1398	-1.7976760864257812	-484.78936767578125	746.7496508
CPD0-1408	-0.5690333843231201	-434.5108947753906	195.14215748
CPD0-1428	0.12768372893333435	-405.9998474121094	567.57470424
CPD0-1430	0.44685599207878113	-392.9386901855469	589.65224968
CPD0-1431	0.5099783539772034	-390.3555908203125	780.07077576
CPD0-1440	-2.707733392715454	-522.0307006835938	-103.673729344
CPD0-1442	-2.1851460933685303	-500.6454162597656	357.101203424
CPD0-1445	-3.815687894821167	-567.3704223632812	-258.10043724
CPD0-1449	-0.05614525079727173	-413.5224914550781	376.44887296
CPD0-1464	-2.1250498294830322	-498.1861572265625	32.807572432
CPD0-1467	-0.6529343724250793	-437.94427490234375	146.18933656
CPD0-1470	5.9055304527282715	-169.55892944335938	244.32327836
CPD0-1471	-1.7921936511993408	-484.5650329589844	31.7841886256
CPD0-1483	-1.7182369232177734	-481.53857421875	114.698602816
CPD0-1485	-2.218512773513794	-502.0108642578125	0.93094066944
CPD0-1487	-1.9405529499053955	-490.63616943359375	-162.86830864
CPD0-1488	-0.6014696955680847	-435.8382568359375	130.695223072
CPD0-1489	-0.6046526432037354	-435.968505859375	130.695223072
CPD0-1490	-0.5598637461662292	-434.1356506347656	130.695223072
CPD0-1491	3.172800302505493	-281.38763427734375	282.731649424
CPD0-1498	-2.7250373363494873	-522.7388305664062	-5.8843135848
CPD0-1499	-3.4903926849365234	-554.0587158203125	-231.02999908
CPD0-1500	-3.4535017013549805	-552.549072265625	4.4588185088
CPD0-1501	-4.471938133239746	-594.2254638671875	-111.693704224
CPD0-1506	-5.556545257568359	-638.6097412109375	-761.194074
CPD0-1507	-0.6643603444099426	-438.411865234375	-71.378671808
CPD0-1512	-4.137686729431152	-580.5472412109375	-321.52127912
CPD0-1520	-5.196226596832275	-623.8648071289062	-300.37335572
CPD0-1530	-4.471938133239746	-594.2254638671875	-111.693704224
CPD0-1532	-4.471938133239746	-594.2254638671875	-111.693704224
CPD0-1533	-4.471938133239746	-594.2254638671875	-111.693704224
CPD0-1535	-4.007510185241699	-575.2201538085938	-242.355338144
CPD0-1536	-4.007510185241699	-575.2201538085938	-242.355338144
CPD0-1537	-2.978361129760742	-533.1053466796875	6.8304159824
CPD0-1541	-2.1879920959472656	-500.7618713378906	-172.01716856
CPD0-1557	-0.4153464436531067	-428.2217102050781	455.32200088
CPD0-1572	-0.16603758931159973	-418.0195007324219	-141.14397648
CPD0-1578	2.810964345932007	-296.1947021484375	195.175370072
CPD0-1604	-1.123053789138794	-457.1824951171875	295.88817048
CPD0-1605	-0.6529834866523743	-437.9462890625	247.911719432
CPD0-1612	-4.739171028137207	-605.1611328125	-807.17422568
CPD0-1613	-4.829407691955566	-608.8538208007812	-770.7057704
CPD0-1614	-2.6143798828125	-518.2105102539062	-357.74499132
CPD0-1616	-2.4843952655792236	-512.8912963867188	-288.6307296
CPD0-1627	-2.199735403060913	-501.242431640625	-79.290385688
CPD0-1633	-0.14840155839920044	-417.29779052734375	243.750815112
CPD0-1636	-4.766607761383057	-606.283935546875	-160.492784064
CPD0-1641	-1.6750569343566895	-479.77154541015625	113.154443224
CPD0-1647	-4.222744941711426	-584.0279541015625	-280.92719064
CPD0-1652	3.807168960571289	-255.4280242919922	348.05327832
CPD0-1655	-4.056534290313721	-577.226318359375	-387.8377628
CPD0-1656	-4.061850547790527	-577.44384765625	-443.82905496
CPD0-1659	0.01794174313545227	-410.4906921386719	847.37681728
CPD0-1660	0.19530260562896729	-403.2327575683594	1107.1520888
CPD0-1661	-1.0015358924865723	-452.2097473144531	728.8812512
CPD0-1662	-3.0708677768707275	-536.890869140625	422.3614112
CPD0-1663	-4.719205856323242	-604.3441162109375	357.04452696
CPD0-1664	-3.5603718757629395	-556.92236328125	400.13106608
CPD0-1675	-0.62192302942276	-436.67523193359375	509.152407664
CPD0-1678	2.834246873855591	-295.241943359375	286.5253408
CPD0-1682	1.9862473011016846	-329.9437561035156	90.74662956
CPD0-1690	-1.8456542491912842	-486.75274658203125	340.05824008
CPD0-1691	-2.4379537105560303	-510.99078369140625	150.262602816
CPD0-1699	-2.9684505462646484	-532.6997680664062	-47.790032928
CPD0-1700	-0.5547099709510803	-433.92474365234375	359.62921388
CPD0-1701	-1.4552321434020996	-470.77587890625	162.22809388
CPD0-1716	-2.1558964252471924	-499.4484558105469	375.07706488
CPD0-1717	-2.034669876098633	-494.4876403808594	158.15507448
CPD0-1718	-1.1241726875305176	-457.228271484375	250.198359112
CPD0-1900	-1.9654595851898193	-491.6553955078125	112.0107008
CPD0-1901	-1.939972162246704	-490.6124267578125	112.0107008
CPD0-1914	-1.9659440517425537	-491.67523193359375	-124.4689792
CPD0-1927	-0.425150990486145	-428.6229248046875	510.88987224
CPD0-1929	-0.5722762942314148	-434.6435852050781	313.2983384
CPD0-1930	-0.9816190600395203	-451.39471435546875	95.097993744
CPD0-1931	-0.5325443148612976	-433.0176696777344	196.671463872
CPD0-1932	-1.1981701850891113	-460.25640869140625	288.23090656
CPD0-1936	-2.9109485149383545	-530.3466796875	-230.900558672
CPD0-1937	-3.776521921157837	-565.7676391601562	-240.639885592
CPD0-1941	-0.8845424056053162	-447.4221496582031	238.87897388
CPD0-1942	1.088843584060669	-366.66729736328125	25.6901185688
CPD0-1944	-3.823917865753174	-567.7072143554688	-350.827354
CPD0-1945	-3.3094356060028076	-546.653564453125	6.722786348
CPD0-1952	1.088843584060669	-366.66729736328125	25.6901185688
CPD0-1961	0.4467487335205078	-392.9430847167969	225.56525576
CPD0-2012	1.849123239517212	-335.5551452636719	344.20866348
CPD0-2017	-2.8635685443878174	-528.4078369140625	291.49066096
CPD0-2018	-0.5464983582496643	-433.5887145996094	162.413859296
CPD0-2019	-4.634151458740234	-600.863525390625	-438.75231488
CPD0-2038	-3.4251513481140137	-551.388916015625	-394.91370176
CPD0-2049	-2.9557957649230957	-532.1819458007812	-242.40658796
CPD0-2051	-3.818737506866455	-567.4952392578125	86.502375776
CPD0-2053	-0.21184387803077698	-419.89398193359375	-103.558326256
CPD0-2055	-1.844569444656372	-486.7083435058594	11.2506111504
CPD0-2059	-2.7432937622070312	-523.4859008789062	-427.03276352
CPD0-2060	-0.625514805316925	-436.82220458984375	500.90835448
CPD0-2077	-2.365297317504883	-508.017578125	-120.782402408
CPD0-2082	-1.0972669124603271	-456.12725830078125	-179.232426352
CPD0-2083	-0.5329238772392273	-433.033203125	85.590933216
CPD0-2084	1.9332923889160156	-332.11077880859375	289.90032256
CPD0-2085	1.9074413776397705	-333.16864013671875	289.90032256
CPD0-2087	2.3429250717163086	-315.3477783203125	270.34773744
CPD0-2088	-1.0751349925994873	-455.2215576171875	-131.074561248
CPD0-2101	-3.833677291870117	-568.1065673828125	130.406071016
CPD0-2167	-2.0147974491119385	-493.6744079589844	-169.865349912
CPD0-2182	-1.932281494140625	-490.2976989746094	333.02836696
CPD0-2184	-3.6577048301696777	-560.9053955078125	-441.37647784
CPD0-2189	-2.4785702228546143	-512.6528930664062	-285.05554344
CPD0-2190	-3.815687894821167	-567.3704223632812	-258.10043724
CPD0-2267	-2.6593801975250244	-520.052001953125	-172.291295872
CPD0-2276	0.8243932723999023	-377.4891052246094	78.534081664
CPD0-2298	-2.34152889251709	-507.044921875	-237.78575744
CPD0-2303	-0.9728242754936218	-451.0348205566406	-133.62214864
CPD0-2306	-3.357414960861206	-548.616943359375	-40.30919992
CPD0-2331	-1.597621202468872	-476.60272216796875	-219.51966864
CPD0-2338	-2.54278302192688	-515.2806396484375	-316.24044352
CPD0-2339	2.805320978164673	-296.4256286621094	-67.938017984
CPD0-2340	0.8894807696342468	-374.8255920410156	-164.6588096
CPD0-2357	1.833672285079956	-336.1874084472656	-32.1143656384
CPD0-2359	-3.1778533458709717	-541.2689819335938	-518.80587472
CPD0-2360	1.5357961654663086	-348.3771057128906	654.01551664
CPD0-2367	-5.862116813659668	-651.1143188476562	-511.60985496
CPD0-2375	-2.4785702228546143	-512.6528930664062	-285.05554344
CPD0-2377	-1.1722168922424316	-459.1943359375	288.23090656
CPD0-2399	-3.3063652515411377	-546.5279541015625	-228.13444096
CPD0-2400	-1.1777303218841553	-459.41998291015625	494.05671976
CPD0-2414	2.2526869773864746	-319.0404968261719	49.617922112
CPD0-2459	-1.474912405014038	-471.58123779296875	206.044745184
CPD0-2461	-1.3379361629486084	-465.9759216308594	97.598506952
CPD0-2462	-1.477506160736084	-471.6873779296875	-163.687092336
CPD0-2477	-0.26334908604621887	-422.0016784667969	315.822729696
CPD0-2485	-3.806946277618408	-567.0126953125	-396.58696704
CPD0-2486	-3.806946277618408	-567.0126953125	-396.58696704
CPD0-2489	-3.2665553092956543	-544.8988037109375	-597.17215288
CPD0-2497	-3.118462324142456	-538.8385620117188	-233.10436352
CPD0-2526	-0.7320622205734253	-441.1823425292969	270.971011184
CPD0-2527	0.23074425756931305	-401.78240966796875	423.6304184
CPD0-2528	0.213995099067688	-402.4678039550781	516.35718872
CPD0-2530	-9.592326164245605	-803.7618408203125	-1085.45955504
CPD0-2555	-2.225402593612671	-502.29278564453125	204.547124224
CPD0-2559	-1.080739974975586	-455.450927734375	-73.40501648
CPD0-2624	-2.2014455795288086	-501.31243896484375	-118.583584888
CPD0-903	-0.7426554560661316	-441.6158447265625	185.644473296
CPD0-918	-1.77813720703125	-483.98980712890625	248.53068784
CPD0-923	-3.1035196781158447	-538.22705078125	-120.494128992
CPD0-955	-2.089756488800049	-496.74188232421875	-269.56035048
CPD3O-4151	-0.2241155505180359	-420.39617919921875	236.69392172
CPD66-102	-1.4862468242645264	-472.0450744628906	35.01650268
CPDQT-428	0.34385615587234497	-397.15362548828125	369.61914148
CREATINE	-1.3598442077636719	-466.8724365234375	127.570549112
CREATININE	0.5309555530548096	-389.4971618652344	271.90912256
CROTONATE	2.936681032180786	-291.05010986328125	-63.833024456
CROTONO-BETAINE	-0.5631487369537354	-434.27008056640625	272.56488088
CYANURIC-ACID	-1.9885878562927246	-492.60186767578125	-260.56546176
CYCASIN	-5.345912456512451	-629.990234375	-294.85509904
CYCLOHEXANE-13-DIONE	0.13940604031085968	-405.5201416015625	145.13862956
CYCLOHEXANOL	1.9369444847106934	-331.9613037109375	428.832611536
CYCLOHEXANONE	1.9208941459655762	-332.6181335449219	370.33090264
CYCLOHEXYL-ISOCYANIDE	2.082691192626953	-325.9970703125	559.49427056
CYCLOPENTANOL	3.203667402267456	-280.12451171875	329.57874264
CYCLOPENTANONE	3.2530736923217773	-278.10272216796875	271.07700864
CYTIDINE	-4.041359901428223	-576.6053466796875	-92.57279912
CYTOSINE	0.6586484313011169	-384.271728515625	83.2850304
D-1-GUANIDINO-1-DEOXY-3-DEHYDRO-SCYLLO-I	-4.296436786651611	-587.0435791015625	-95.714761368
D-1-GUANIDINO-3-AMINO-13-DIDEOXY-SCYLLO	-3.902601957321167	-570.9271240234375	192.30477788
D-2-AMINO-HEXANO-6-LACTAM	-0.2456495463848114	-421.2773742675781	444.76970184
D-4-HYDROXY-2-KETO-GLUTARATE	-3.81078839302063	-567.169921875	-782.84213184
D-4-HYDROXYPHENYLGLYCINE	-1.6055433750152588	-476.92694091796875	1.21373752232
D-ALA-D-ALA	-2.0508363246917725	-495.1492004394531	19.0934484408
D-ALANINE	2.3187668323516846	-316.3363952636719	-67.036709072
D-ALTRONATE	-4.66074800491333	-601.951904296875	-652.661114
D-CARNITINE	-1.5646815299987793	-475.2547607421875	112.2851712
D-ERYTHRULOSE	-1.0456748008728027	-454.0159912109375	-261.127778808
D-FUCONATE	-3.8338747024536133	-568.1146240234375	-501.074794
D-GALACTARATE	-5.630486965179443	-641.6355590820312	-966.33366936
D-GALACTONATE	-4.66074800491333	-601.951904296875	-652.661114
D-GALACTONO-1-4-LACTONE	-3.7511279582977295	-564.728515625	-473.07990104
D-GALACTOSYLAMINE	-3.3864858150482178	-549.806640625	-165.462066472
D-GLT	-2.6001429557800293	-517.6279296875	-354.983505296
D-GLUCARATE	-5.630486965179443	-641.6355590820312	-966.33366936
D-GLUCURONOLACTONE	-3.7869672775268555	-566.195068359375	-519.36435504
D-HAMAMELOSE	-3.78855562210083	-566.2601318359375	-394.7878052
D-LACTATE	1.9169156551361084	-332.78094482421875	-301.7770668
D-MANNONATE	-4.660748481750488	-601.9519653320312	-652.661114
D-PHENYLGLYCINE	-0.7965306043624878	-443.8205261230469	166.398081664
D-PROLINE	0.33080601692199707	-397.68768310546875	99.244869112
D-RIBULOSE	-2.9062440395355225	-530.1541748046875	-327.56038104
D-SERINE	0.6947949528694153	-382.79254150390625	-218.62303744
D-TAGATURONATE	-4.697261810302734	-603.4461669921875	-705.054208
D-TARTRATE	-3.888532876968384	-570.3513793945312	-833.46849
D-THREONINE	-0.6485894918441772	-437.7664794921875	-133.4691816
D-TYROSINE	-1.7112622261047363	-481.2531433105469	93.940498512
D-XYLONATE	-3.790900707244873	-566.3560791015625	-586.22852432
D-XYLONO-14-LACTONE	-2.8805558681488037	-529.1029663085938	-406.64731136
D-XYLULOSE	-2.9062440395355225	-530.1541748046875	-327.56038104
D1-PIPERIDINE-DICARBOXYLATE	-2.584026575088501	-516.9683837890625	-186.526288952
DAP	1.475635290145874	-350.8389892578125	497.29731144
DE-O-GLUCONATE	-3.7967545986175537	-566.5956420898438	-493.50173308
DE-O-K-GLUCONATE	-3.816269874572754	-567.3942260742188	-545.89472248
DEHYDFUC-CPD	-2.9422481060028076	-531.6275024414062	-384.01576248
DEHYDRO-3-DEOXY-L-RHAMNONATE	-2.9422483444213867	-531.6275634765625	-384.01576248
DEHYDROQUINATE	-3.8349990844726562	-568.16064453125	-511.962541056
DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE	-2.375964403152466	-508.4540710449219	-334.80531176
DELTA1-PIPERIDEINE-2-CARBOXYLATE	-0.6315158009529114	-437.0677795410156	52.83097052
DELTA1-PYRROLINE_2-CARBOXYLATE	0.2386324405670166	-401.4595947265625	-46.42292348
DEOXYAMIDINOPROCLAVAMINATE	-2.981790781021118	-533.2456665039062	337.97490096
DEOXYCYTIDINE	-3.1860620975494385	-541.6048583984375	74.117731592
DEOXYRIBONOLACTONE	-1.9878442287445068	-492.5714416503906	-239.956768096
DEOXYURIDINE	-3.6569361686706543	-560.8739624023438	-130.48458796
DI-H-OROTATE	-2.8488171100616455	-527.8041381835938	-420.39355048
DI-H-URACIL	0.02198624610900879	-410.3251953125	-35.368519336
DIACETYL	3.0623762607574463	-285.90643310546875	-0.055556298416
DIAMINONONANOATE	-1.3502604961395264	-466.4802551269531	562.29395232
DIETHYL-2-METHYL-3-OXOSUCCINATE	-3.029508590698242	-535.1983642578125	-148.00615488
DIETHYL-2R3R-2-METHYL-3-HYDROXYSUCCIN	-3.0979323387145996	-537.9984130859375	-105.90570088
DIETHYLAMINE	4.358625888824463	-232.861328125	522.29449392
DIETHYLETHER	3.7037007808685303	-259.66217041015625	315.6878208
DIETHYLPYROCARBONATE	-3.0524163246154785	-536.1358032226562	-21.5425888232
DIFLUOROMETHYLORNITHINE	-3.993194341659546	-574.6343383789062	228.749756736
DIHYDRO-DIOH-BENZOATE	-1.919126033782959	-489.75933837890625	-255.24163556
DIHYDRO-NEO-PTERIN	-3.7499680519104004	-564.6810302734375	44.875755592
DIHYDRO-THYMINE	-0.9922135472297668	-451.8282470703125	42.254061192
DIHYDROCLAVAMINATE	-2.8233633041381836	-526.7625122070312	-66.929598672
DIHYDROCOUMARIN	-0.29611483216285706	-423.342529296875	212.501037928
DIHYDROXYACETONE	1.8690197467803955	-334.7409362792969	-187.33140352
DIHYDROXYINDOLE	-0.5809888243675232	-435.0001220703125	111.70794656
DIHYDROXYPENTANEDIONE	-2.0229251384735107	-494.00701904296875	-218.07438952
DIHYDROXYPHENYLGLYCOLALDEHYDE	-1.9669992923736572	-491.7184143066406	-133.934174624
DIHYDROXYPIRIDIN-CPD	0.6109992265701294	-386.22161865234375	-3.0727312736
DIMETHYL-CITRACONATE	-2.0865349769592285	-496.61004638671875	-139.90789736
DIMETHYL-GLYCINE	0.9551496505737305	-372.1383056640625	80.165829112
DIMETHYLAMINE	6.71461296081543	-136.44967651367188	339.14211144
DIMETHYLBENZIMIDAZOLE	0.8247284889221191	-377.47540283203125	554.1800048
DIMETHYLMAL-CPD	-1.9602632522583008	-491.4427490234375	-354.89319784
DINITRO-4-HYDROXYPHENYLPYRUVATE	-5.656483173370361	-642.6994018554688	-800.88651048
DINITRO-L-TYROSINE	-5.448491096496582	-634.1879272460938	-524.04566528
DINITROPHENYLHYDRAZINE	-2.69067645072937	-521.3327026367188	-89.509475152
DIOXOPIPERAZINE	0.25132206082344055	-400.9403076171875	-35.368519336
DIPROPYLETHER	1.5815403461456299	-346.5051574707031	501.14148696
DL-5-METHYLHYDANTOIN	-0.030678972601890564	-412.4803466796875	-56.99980352
DOPAMINE	-0.7509440779685974	-441.95501708984375	303.63869576
DOPAQUINONE	-2.404696226119995	-509.62982177734375	-132.925299256
E-2-METHOXYCARBONYLMETHYLBUTENEDIOAT	-3.598121404647827	-558.4671630859375	-660.03240152
ECTOINE	-1.0625731945037842	-454.70751953125	165.356709168
ENOL-OXALOACETATE	-2.556450366973877	-515.8399047851562	-682.01714584
ENOL-PHENYLPYRUVATE	-1.1163747310638428	-456.9091796875	2.9948283316
EPYRIDALDOX	-0.04475410282611847	-413.05633544921875	236.507821584
ERYTHRITOL	-0.9010085463523865	-448.0959777832031	-208.734793592
ERYTHROSE	-1.029001235961914	-453.33367919921875	-254.51707136
ERYTHRULOSE	-1.0456748008728027	-454.0159912109375	-261.127778808
ETHANAMINE	6.672718048095703	-138.16409301757812	307.845766336
ETHANOL-AMINE	5.114134788513184	-201.94439697265625	156.259479808
ETHYL-2-METHYLACETOACETATE	-1.248948097229004	-462.3343505859375	64.0296348
ETHYL-2R-METHYL-3S-HYDROXYBUTANOATE	-1.2107212543487549	-460.77001953125	116.422661856
ETHYL-3-OXOHEXANOATE	-1.338118076324463	-465.98333740234375	164.329461856
ETHYL-ACETOACETATE	-1.2113878726959229	-460.79730224609375	-21.124191752
ETHYL-R-3-HYDROXYHEXANOATE	-1.1263723373413086	-457.31829833984375	216.72253912
ETHYL-S-3-HYDROXYHEXANOATE	-1.1263723373413086	-457.31829833984375	216.72253912
ETHYLACETATE	2.490743398666382	-309.29876708984375	6.1461487232
ETHYLACETIMIDATE	2.6711697578430176	-301.9153747558594	278.3161236
ETHYLBENZENE	2.4705467224121094	-310.125244140625	568.86170264
ETHYLENE-CMPD	6.941688060760498	-127.15731811523438	253.485481056
ETOH	6.393523693084717	-149.58926391601562	76.093253216
F-	8.019912719726562	-83.03421020507812	-1.3056565296
FLUORO-CITRATE	-6.191451072692871	-664.59130859375	-998.73782888
FMPP	-2.13950252532959	-498.777587890625	255.30284748
FORMALDEHYDE	7.8705878257751465	-89.1448974609375	-44.59206784
FORMAMIDE	6.541333198547363	-143.54061889648438	-49.56634176
FORMATE	5.958354949951172	-167.39724731445312	-309.3270948
FORMYL-ISOGLUTAMINE	-2.799734592437744	-525.7955932617188	-240.630069928
FRUCTOSEGLYCINE	-5.101949214935303	-620.0067749023438	-407.4513088
FUM	-0.5722811222076416	-434.643798828125	-520.514729104
GALACTITOL	-3.813730478286743	-567.290283203125	-341.59983488
GALACTOSE	-3.81333065032959	-567.27392578125	-397.59112704
GAMMA-BUTYROBETAINE	-0.6167086958885193	-436.46185302734375	271.4445312
GAMMA-GLUTAMYL-GAMMA-AMINOBUTYRALDEH	-2.9442920684814453	-531.711181640625	106.976194016
GAMMA-GLUTAMYL-PUTRESCINE	-2.5204155445098877	-514.3652954101562	385.389679296
GLC-D-LACTONE	-3.743579626083374	-564.4196166992188	-474.08406104
GLC	-3.81333065032959	-567.27392578125	-397.59112704
GLN	-1.9574079513549805	-491.325927734375	-98.277147568
GLT	-2.6001429557800293	-517.6279296875	-344.23069224
GLUCONATE	-4.66074800491333	-601.951904296875	-657.01243216
GLUCONOGAMMALACTONE	-3.7511277198791504	-564.728515625	-473.07990104
GLUCOSAMINATE	-4.281628608703613	-586.4376220703125	-417.92070188
GLUTACONATE	-1.5199096202850342	-473.422607421875	-421.302675104
GLUTAMATE-1-SEMIALDEHYDE	-1.5947353839874268	-476.4846496582031	-79.453775072
GLUTAMIDE	-1.9574079513549805	-491.325927734375	-79.407307568
GLUTARATE	-1.944112777709961	-490.7818603515625	-422.42299968
GLUTARIMIDE	0.2865893840789795	-399.4971008300781	54.885050928
GLY	3.5858304500579834	-264.48565673828125	-155.8305696
GLYCERALD	1.954620599746704	-331.23797607421875	-179.800195152
GLYCERATE	0.2720769941806793	-400.0909729003906	-444.577003536
GLYCEROL	2.1636927127838135	-322.68231201171875	-153.682658808
GLYCINAMIDE	4.229319095611572	-238.15281677246094	110.021551888
GLYCOL	4.711334705352783	-218.4277801513672	-72.689807704
GLYCOLALDEHYDE	4.74831485748291	-216.9144744873047	-122.154043128
GLYCOLLATE	3.2810890674591064	-276.95623779296875	-403.33218172
GLYCYLGLYCINE	-1.8990955352783203	-488.9396667480469	-176.401766256
GLYOX	3.3480474948883057	-274.2161865234375	-426.9393348
GUANIDOACETIC_ACID	-0.3186993896961212	-424.2667236328125	-16.9124074816
GUANINE	-1.2614924907684326	-462.8476867675781	150.9444944
H2CO3	4.260353088378906	-236.88284301757812	-332.86964692
HCN	8.815960884094238	-50.458343505859375	162.678631184
HCO3	4.322825908660889	-234.32632446289062	-545.09545296
HEXANAL	1.7837798595428467	-338.2291259765625	400.3395548
HEXANOATE	0.3889507055282593	-395.30828857421875	135.43716784
HEXANOL-CMPD	1.7431368827819824	-339.8923034667969	446.62392512
HIS	-1.5582799911499023	-474.9927978515625	146.44039748
HISTAMINE	1.2932589054107666	-358.30218505859375	521.322818496
HISTIDINAL	-0.7027409672737122	-439.9824523925781	408.6058836
HISTIDINOL	-0.6614905595779419	-438.2944030761719	454.89025392
HMP	-0.5907140970230103	-435.3981018066406	347.774473296
HOMO-CIS-ACONITATE	-3.585728645324707	-557.9600219726562	-720.12049912
HOMO-CIT	-4.793333053588867	-607.3775634765625	-877.51329064
HOMO-I-CIT	-4.772622585296631	-606.5300903320312	-871.5719688
HOMO-SER	-0.6152024865150452	-436.40020751953125	-125.896191808
HOMOARGININE	-2.237224578857422	-502.7765808105469	426.96460616
HOMOGENTISATE	-1.9305529594421387	-490.2269592285156	-239.55163556
HYDANTOIN-5-PROPIONATE	-2.851871967315674	-527.9291381835938	-334.19377832
HYDANTOIN	1.4063878059387207	-353.6727294921875	-134.622367312
HYDRAZINE	7.742312431335449	-94.3941650390625	299.92790616
HYDROGEN-MOLECULE	10.43513298034668	15.801361083984375	103.563384712
HYDROGEN-PEROXIDE	7.761420726776123	-93.61221313476562	-47.939263656
HYDROQUINONE	0.9059926271438599	-374.14990234375	51.240280664
HYDROXY-UREA	3.668938398361206	-261.084716796875	-187.75917568
HYDROXYAMINOBENZENE	1.6090505123138428	-345.37939453125	303.33096256
HYDROXYATRAZINE	-1.334855318069458	-465.8498229980469	672.48088936
HYDROXYBENZOQUINONE	-1.0433807373046875	-453.922119140625	-183.504817536
HYDROXYLAMINE	7.723095417022705	-95.18057250976562	-36.177529208
HYDROXYMALONATE	-1.271439790725708	-463.2547607421875	-767.03606768
HYDROXYMETHYL-ETCETERA-DIHYDROXYCYCLOHEX	-2.273493528366089	-504.2607727050781	-135.486145744
HYDROXYMUCONATE-SALD	-2.038003444671631	-494.6240539550781	-241.736721192
HYDROXYPROPANAL	3.6204540729522705	-263.06878662109375	-29.4272631848
HYDROXYPYRIDINE-N-OXIDE	0.5430184602737427	-389.0035400390625	99.895522952
HYDRPHENYLAC-CPD	-0.2807963192462921	-422.7156677246094	190.40953048
HYPOXANTHINE	-0.9164054989814758	-448.7260437011719	261.43510616
ILE	-0.7432420253753662	-441.6398620605469	214.742017616
IMIDAZOLE-LACTATE	-1.9559381008148193	-491.2657775878906	-88.300069032
IMIDAZOLE-PROPIONATE	-1.0620007514953613	-454.68408203125	129.016907704
IMIDAZOLE-PYRUVATE	-1.9447767734527588	-490.80902099609375	-130.40046864
IMIDAZOLE-RING	5.008703708648682	-206.25885009765625	268.92442432
IMIDAZOLE_ACETALDEHYDE	0.7496401071548462	-380.54815673828125	242.9093374
