MONOMER-11907	RXN-7751
MONOMER-13789	RXN-9175
CPLX-6681	2.5.1.51-RXN
CPLX-5683	BETA-UREIDOPROPIONASE-RXN
CPLX-8002	BETA-UREIDOPROPIONASE-RXN // RXN-11210
CPLX-5684	BETA-UREIDOPROPIONASE-RXN
HS01953-MONOMER	BETA-UREIDOPROPIONASE-RXN // RXN-11210
CPLX0-7761	ACONITATEHYDR-RXN // 4.2.1.99-RXN // RXN-14047 // ACONITATEDEHYDR-RXN
CPLX-7676	RXN-9774
CPLX-7677	RXN-9774
MONOMER-12131	RXN-8930
MONOMER-13538	RXN-8930
CPLX-7521	RXN-8930 // ALLOPHANATE-HYDROLASE-RXN
MONOMER-9501	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
CPLX-6954	BRANCHED-CHAINAMINOTRANSFERILEU-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN
CPLX-7026	BRANCHED-CHAINAMINOTRANSFERILEU-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN
BRANCHED-CHAINAMINOTRANSFER-CPLX	BRANCHED-CHAINAMINOTRANSFERILEU-RXN // PHEAMINOTRANS-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN
CPLX-6941	BRANCHED-CHAINAMINOTRANSFERILEU-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN
CPLX-7030	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
CPLX-6703	GLUTAMIN-RXN // DIHYDROOROT-RXN
MONOMER-15746	RXN-11522
YJL130C-MONOMER	GLUTAMIN-RXN
CARBPSYN-CPLX	GLUTAMIN-RXN
CPLX-1081	GLUTAMIN-RXN
CPLX8J2-6	GLUTAMIN-RXN
CPLX-7537	RXN-8949 // RXN-8950
AT3G01500-MONOMER	RXN0-5224
CPLX-7750	RXN0-5224
CARBODEHYDRAT-CPLX	RXN0-5224
HS05785-MONOMER	CARBODEHYDRAT-RXN // RXN0-5224
CPLX0-7521	CARBODEHYDRAT-RXN
MONOMER-16178	RXN-12087
CPLX0-8214	RXN-17577
HS10576-MONOMER	RXN-17577
MONOMER-15802	RXN-9380
MONOMER-15804	RXN-9380 // RXN-11564
CPLX-7605	RXN-9380 // RXN-11564
CPLX-8471	RXN-11564
MONOMER-18571	CARNRACE-RXN
MONOMER-33	3-DEHYDROQUINATE-DEHYDRATASE-RXN
MONOMER-15237	ACETOLACTSYN-RXN
THREDEHYDCAT-CPLX	4.3.1.17-RXN // RXN-15122 // RXN-15125 // THREDEHYD-RXN
CPLX-7231	CATAL-RXN
CPLX-7232	CATAL-RXN
CPLX66-121	CATAL-RXN // RXN66-1
CPLX-7233	CATAL-RXN
CPLX-7393	CATAL-RXN
HYDROPEROXIDII-CPLX	CATAL-RXN
CPLX-9239	CATAL-RXN // RXN-18721
CPLX-2842	CATECHOL-12-DIOXYGENASE-RXN
C23OALCAL-MONOMER	CATECHOL-23-DIOXYGENASE-RXN
CPLX-2841	CATECHOL-23-DIOXYGENASE-RXN
MONOMER-11210	RXN-11219 // CATECHOL-2-3-DIOXYGENASE-RXN
MONOMER-11102	CATECHOL-2-3-DIOXYGENASE-RXN
MONOMER-16349	CATECHOL-OXIDASE-RXN
MONOMER-14642	CATECHOL-12-DIOXYGENASE-RXN
CPLX-7712	MUCONATE-CYCLOISOMERASE-RXN
CPLX-7805	RXN-10122
MONOMER-18646	CHOLINE-OXIDASEII-RXN // RXN-13178 // CHOLINE-OXIDASE-RXN
