Namespace(batch_size=100, dataset='qm9', datasetPath='/scratch/zuck016/mpnn-data/qm9/dsgdb9nsd/', epochs=50, logPath='./log/qm9/mpnn/', log_interval=20, lr=0.001, lr_decay=0.6, model='MPNNv2', momentum=0.9, no_cuda=False, plotLr=False, plotPath='./plot/qm9/mpnn/', prefetch=2, resume='./checkpoint/qm9/mpnn/', schedule=[0.1, 0.9])
Prepare files
Define model
	Statistics
	Create model
Optimizer
Logger
=> no best model found at './checkpoint/qm9/mpnn/model_best.pth'
Check cuda
	* Cuda
Epoch: [2][720/1139]	Time 1.292 (1.045)	Data 1.125 (0.851)	Loss 0.3674 (0.2586)	Error Ratio 1.1206 (2.4758)
Epoch: [2][740/1139]	Time 1.574 (1.045)	Data 1.407 (0.851)	Loss 0.4283 (0.2581)	Error Ratio 4.8862 (2.4771)
Epoch: [2][760/1139]	Time 0.702 (1.045)	Data 0.505 (0.851)	Loss 0.2235 (0.2574)	Error Ratio 1.9104 (2.4652)
Epoch: [2][780/1139]	Time 0.849 (1.045)	Data 0.650 (0.850)	Loss 0.3527 (0.2576)	Error Ratio 2.5165 (2.4513)
Epoch: [2][800/1139]	Time 0.843 (1.045)	Data 0.643 (0.850)	Loss 0.2150 (0.2595)	Error Ratio 1.3451 (2.4405)
Epoch: [2][820/1139]	Time 0.938 (1.045)	Data 0.739 (0.850)	Loss 0.1656 (0.2591)	Error Ratio 1.4183 (2.4325)
Epoch: [2][840/1139]	Time 1.247 (1.044)	Data 1.016 (0.849)	Loss 0.1966 (0.2581)	Error Ratio 1.9321 (2.4154)
Epoch: [2][860/1139]	Time 1.495 (1.044)	Data 1.266 (0.849)	Loss 0.2217 (0.2577)	Error Ratio 3.8485 (2.4202)
Epoch: [2][880/1139]	Time 1.383 (1.045)	Data 1.206 (0.849)	Loss 0.2544 (0.2577)	Error Ratio 1.5385 (2.4046)
Epoch: [2][900/1139]	Time 0.236 (1.045)	Data 0.046 (0.849)	Loss 0.1465 (0.2570)	Error Ratio 1.0894 (2.3880)
Epoch: [2][920/1139]	Time 0.261 (1.045)	Data 0.074 (0.849)	Loss 0.2228 (0.2563)	Error Ratio 2.5299 (2.3839)
Epoch: [2][940/1139]	Time 0.310 (1.045)	Data 0.079 (0.849)	Loss 0.3573 (0.2557)	Error Ratio 2.1052 (2.3757)
Epoch: [2][960/1139]	Time 0.215 (1.045)	Data 0.027 (0.849)	Loss 0.1843 (0.2550)	Error Ratio 1.2743 (2.3616)
